title,artist,date_painted,location,art_image
Portrait of Madame X,John Singer Sargent,1884,Metropolitan Museum of Art,portrait_of_madam_x.jpg
Jeanne Hebuterne (1919),Amedeo Modigliani,1919,Private Collection,jeanne_hebuterne_1919.jpg
The Garden of Earthy Delights,Hieronymous Bosch,1503-1515,Museo Del Prado,the_garden_of_earthly_delights.jpg
Portrait of the Journalist Sylvia von Harden,Otto Dix,1926,"Musée Nacional d'Art Moderne, Centre Georges Pompidou, Paris",portrait_of_the_journalist_sylvia_von_harden.jpg
The Elephant Celebes,Max Ernst,1921,"Tate Modern, London",the_elephant_celebes.jpg
The Starry Night,Vincent van Gogh,1889,Museum of Modern Art,starry_night.jpg
Girl with a Pearl Earring,Johannes Vermeer,1665,Mauritshuis,the_girl_with_a_pearl_earring.jpg
Guernica,Pablo Picasso,1937,Museo Nacional Centro de Arte Reina Sofía,guernica.jpg
Portrait of Adele Bloch-Bauer I,Gustav Klimt,1907,Neue Galerie New York,portrait_of_adele_bloch-bauer.jpg
Arnolfini Portrait,Jan van Eyck,1434,"National Gallery, London",arnolfini_portrait.jpg
Saturn Devouring His Son,Francisco Goya,1823,Museo Del Prado,saturn_devouring_his_son.jpg
